Date,Stock Name,sentiment,stock_performance,pct_change,one_day_price,two_day_price,three_day_price,historical_price
2021-10-06,AMZN,0.1943,1,1.2391203105561124,161.05,159.49,164.16,169.63
2021-10-06,BA,0.1981,1,0.662247298989586,224.42,223.79,226.0,216.97
2021-10-06,COST,0.0,1,0.7856005749582897,426.5,420.67,428.5,435.92
2021-10-06,ENPH,0.4939,1,2.3766075354651592,147.41,145.03,155.36,155.8
2021-10-06,GOOG,-0.21945,1,1.333423073518754,135.54,133.13,135.82,139.87
2021-10-06,KO,0.46094999999999997,1,0.31649680299165045,47.77,47.69,47.72,48.85
2021-10-06,META,0.20458333333333334,-1,-1.3247796797333293,331.4,324.7,341.4,356.03
2021-10-06,MSFT,0.1943,1,0.5936286092918608,280.38,274.9,280.71,286.27
2021-10-06,NFLX,0.17212500000000003,-1,-1.1344078042489487,634.81,603.35,613.15,595.09
2021-10-06,NIO,0.1458142857142857,1,6.922168275748895,33.87,33.4,35.38,36.5
2021-10-06,PG,0.1943,1,0.8003629175982632,127.79,127.3,128.02,131.03
2021-10-06,PYPL,0.0,-1,-0.19692078257953163,260.15,255.01,264.65,274.18
2021-10-06,TSLA,0.1999397435897436,1,1.3874260399496263,260.2,260.51,258.41,253.5
2021-10-06,TSM,0.2120175,1,1.3627162770048398,102.62,102.4,104.78,109.76
2021-10-07,AAPL,0.30275,-1,-0.27217656286673114,139.35,138.48,136.55,143.59
2021-10-07,AMD,0.36333333333333334,-1,-1.3057768243284018,103.64,101.81,100.34,104.31
2021-10-07,AMZN,0.2763,-1,-0.4181805261295601,163.1,161.05,159.49,169.33
2021-10-07,BA,0.4621,-1,-0.03973699204714432,224.99,224.42,223.79,217.34
2021-10-07,BX,-0.5719,1,0.9975645325606304,100.8,101.64,98.22,110.19
2021-10-07,COST,0.6289,-1,-0.2252237642939957,429.46,426.5,420.67,435.62
2021-10-07,CRM,0.6892,-1,-0.7647867925884226,273.74,270.26,269.36,264.75
2021-10-07,DIS,0.3446,-1,-0.5458314959741515,173.34,172.48,171.34,176.37
2021-10-07,F,0.5562,1,1.5446423528082696,11.14,11.28,11.32,10.68
2021-10-07,GOOG,0.14875,1,0.6254226256493111,136.71,135.54,133.13,139.72
2021-10-07,INTC,0.368,-1,-0.6828879370147598,49.72,49.69,49.25,49.67
2021-10-07,META,0.3571083333333333,1,0.2521030238858511,332.07,331.4,324.7,354.94
2021-10-07,MSFT,0.2763,-1,0.0,284.61,280.38,274.9,286.19
2021-10-07,NFLX,0.338675,1,0.12819460154961781,639.1,634.81,603.35,597.09
2021-10-07,NIO,0.04405625000000001,-1,-0.44456749083131886,33.66,33.87,33.4,36.37
